Nairobi Stock Exchange All Share Index | Price History                                          02-Jun-2023 20:00,,,,,,,
,,,,,,,
,,,,,,,
.NASI,,,,,,,
Interval: Daily,,,,,,,
History Period: 01-Apr-2011 - 31-Jul-2020,,,,,,,
,,,,,,,
,,,,,,,
.NASI Statistics     Daily     01-Apr-2011 - 29-Jul-2020,,,,,,,
Price,,,Up/Down,,Price Change (Close-Close),,
High,196.57,05-Apr-2018,Up,1184,Up,+4.11%,12-Oct-2016
Low,65.14,07-Dec-2011,Down,1099,Down,-5.51%,13-Mar-2020
Avg,135.82,,Unch,21,Period,+48.88%,01-Apr-2011 - 29-Jul-2020
,,,,,,,
,,,,,,,
.NASI History     Daily     01-Apr-2011 - 29-Jul-2020,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,
10-Sep-2015,146.19,+0.68,+0.47%,146.19,146.19,146.19,
09-Sep-2015,145.51,-0.13,-0.09%,145.51,145.51,145.51,
08-Sep-2015,145.64,+0.53,+0.37%,145.64,145.64,145.64,
07-Sep-2015,145.11,+1.07,+0.74%,145.11,145.11,145.11,
04-Sep-2015,144.04,-0.91,-0.63%,144.04,144.04,144.04,
03-Sep-2015,144.95,+2.43,+1.71%,144.95,144.95,144.95,
02-Sep-2015,142.52,-0.60,-0.42%,142.52,142.52,142.52,
01-Sep-2015,143.12,+0.32,+0.22%,143.12,143.12,143.12,
31-Aug-2015,142.80,+2.62,+1.87%,142.80,142.80,142.80,
28-Aug-2015,140.18,+2.67,+1.94%,140.18,140.18,140.18,
27-Aug-2015,137.51,-1.92,-1.38%,137.51,137.51,137.51,
26-Aug-2015,139.43,-3.37,-2.36%,139.43,139.43,139.43,
25-Aug-2015,142.80,-3.60,-2.46%,142.80,142.80,142.80,
24-Aug-2015,146.40,-3.26,-2.18%,146.40,146.40,146.40,
21-Aug-2015,149.66,-0.76,-0.51%,149.66,149.66,149.66,
20-Aug-2015,150.42,-0.59,-0.39%,150.42,150.42,150.42,
19-Aug-2015,151.01,-0.62,-0.41%,151.01,151.01,151.01,
18-Aug-2015,151.63,-0.41,-0.27%,151.63,151.63,151.63,
17-Aug-2015,152.04,-0.05,-0.03%,152.04,152.04,152.04,
14-Aug-2015,152.09,-1.29,-0.84%,152.09,152.09,152.09,
13-Aug-2015,153.38,-1.23,-0.80%,153.38,153.38,153.38,
12-Aug-2015,154.61,-0.30,-0.19%,154.61,154.61,154.61,
11-Aug-2015,154.91,+1.17,+0.76%,154.91,154.91,154.91,
10-Aug-2015,153.74,+3.29,+2.19%,153.74,153.74,153.74,
07-Aug-2015,150.45,+4.02,+2.75%,150.45,150.45,150.45,
06-Aug-2015,146.43,+0.61,+0.42%,146.43,146.43,146.43,
05-Aug-2015,145.82,-0.43,-0.29%,145.82,145.82,145.82,
04-Aug-2015,146.25,-0.79,-0.54%,146.25,146.25,146.25,
03-Aug-2015,147.04,-1.35,-0.91%,147.04,147.04,147.04,
31-Jul-2015,148.39,-2.56,-1.70%,148.39,148.39,148.39,
30-Jul-2015,150.95,-1.27,-0.83%,150.95,150.95,150.95,
29-Jul-2015,152.22,-0.88,-0.57%,152.22,152.22,152.22,
28-Jul-2015,153.10,+0.08,+0.05%,153.10,153.10,153.10,
27-Jul-2015,153.02,-0.16,-0.10%,153.02,153.02,153.02,
24-Jul-2015,153.18,-1.07,-0.69%,153.18,153.18,153.18,
23-Jul-2015,154.25,-1.45,-0.93%,154.25,154.25,154.25,
22-Jul-2015,155.70,-0.61,-0.39%,155.70,155.70,155.70,
21-Jul-2015,156.31,-0.01,-0.01%,156.31,156.31,156.31,
20-Jul-2015,156.32,+0.36,+0.23%,156.32,156.32,156.32,
17-Jul-2015,155.96,-0.63,-0.40%,155.96,155.96,155.96,
16-Jul-2015,156.59,-1.86,-1.17%,156.59,156.59,156.59,
15-Jul-2015,158.45,+0.06,+0.04%,158.45,158.45,158.45,
14-Jul-2015,158.39,-0.90,-0.57%,158.39,158.39,158.39,
13-Jul-2015,159.29,-0.15,-0.09%,159.29,159.29,159.29,
10-Jul-2015,159.44,-0.15,-0.09%,159.44,159.44,159.44,
09-Jul-2015,159.59,-0.65,-0.41%,159.59,159.59,159.59,
08-Jul-2015,160.24,-1.76,-1.09%,160.24,160.24,160.24,
07-Jul-2015,162.00,+0.57,+0.35%,162.00,162.00,162.00,
06-Jul-2015,161.43,-0.07,-0.04%,161.43,161.43,161.43,
03-Jul-2015,161.50,-0.85,-0.52%,161.50,161.50,161.50,
02-Jul-2015,162.35,-0.86,-0.53%,162.35,162.35,162.35,
01-Jul-2015,163.21,-1.20,-0.73%,163.21,163.21,163.21,
30-Jun-2015,164.41,+1.33,+0.82%,164.41,164.41,164.41,
29-Jun-2015,163.08,+0.57,+0.35%,163.08,163.08,163.08,
26-Jun-2015,162.51,-0.17,-0.10%,162.51,162.51,162.51,
25-Jun-2015,162.68,+0.12,+0.07%,162.68,162.68,162.68,
24-Jun-2015,162.56,+0.29,+0.18%,162.56,162.56,162.56,
23-Jun-2015,162.27,-1.07,-0.66%,162.27,162.27,162.27,
22-Jun-2015,163.34,+0.94,+0.58%,163.34,163.34,163.34,
19-Jun-2015,162.40,-0.42,-0.26%,162.40,162.40,162.40,
18-Jun-2015,162.82,-0.20,-0.12%,162.82,162.82,162.82,
17-Jun-2015,163.02,+0.14,+0.09%,163.02,163.02,163.02,
16-Jun-2015,162.88,+0.13,+0.08%,162.88,162.88,162.88,
15-Jun-2015,162.75,-0.14,-0.09%,162.75,162.75,162.75,
12-Jun-2015,162.89,+0.19,+0.12%,162.89,162.89,162.89,
11-Jun-2015,162.70,+0.05,+0.03%,162.70,162.70,162.70,
10-Jun-2015,162.65,+0.29,+0.18%,162.65,162.65,162.65,
09-Jun-2015,162.36,-0.17,-0.10%,162.36,162.36,162.36,
08-Jun-2015,162.53,-1.25,-0.76%,162.53,162.53,162.53,
05-Jun-2015,163.78,-0.44,-0.27%,163.78,163.78,163.78,
04-Jun-2015,164.22,-0.01,-0.01%,164.22,164.22,164.22,
03-Jun-2015,164.23,-0.02,-0.01%,164.23,164.23,164.23,
02-Jun-2015,164.25,+2.12,+1.31%,164.25,164.25,164.25,
29-May-2015,162.13,+0.67,+0.41%,162.13,162.13,162.13,
28-May-2015,161.46,+0.15,+0.09%,161.46,161.46,161.46,
27-May-2015,161.31,-1.49,-0.92%,161.31,161.31,161.31,
26-May-2015,162.80,-1.34,-0.82%,162.80,162.80,162.80,
25-May-2015,164.14,-0.78,-0.47%,164.14,164.14,164.14,
22-May-2015,164.92,-1.56,-0.94%,164.92,164.92,164.92,
21-May-2015,166.48,-0.90,-0.54%,166.48,166.48,166.48,
20-May-2015,167.38,-0.45,-0.27%,167.38,167.38,167.38,
19-May-2015,167.83,+0.35,+0.21%,167.83,167.83,167.83,
18-May-2015,167.48,-0.25,-0.15%,167.48,167.48,167.48,
15-May-2015,167.73,-0.09,-0.05%,167.73,167.73,167.73,
14-May-2015,167.82,+0.55,+0.33%,167.82,167.82,167.82,
13-May-2015,167.27,-2.19,-1.29%,167.27,167.27,167.27,
12-May-2015,169.46,-1.19,-0.70%,169.46,169.46,169.46,
11-May-2015,170.65,-0.82,-0.48%,170.65,170.65,170.65,
08-May-2015,171.47,-0.05,-0.03%,171.47,171.47,171.47,
07-May-2015,171.52,-1.97,-1.14%,171.52,171.52,171.52,
06-May-2015,173.49,-0.45,-0.26%,173.49,173.49,173.49,
05-May-2015,173.94,+0.80,+0.46%,173.94,173.94,173.94,
04-May-2015,173.14,-0.06,-0.03%,173.14,173.14,173.14,
30-Apr-2015,173.20,+0.85,+0.49%,173.20,173.20,173.20,
29-Apr-2015,172.35,+0.65,+0.38%,172.35,172.35,172.35,
28-Apr-2015,171.70,+0.11,+0.06%,171.70,171.70,171.70,
27-Apr-2015,171.59,-0.96,-0.56%,171.59,171.59,171.59,
24-Apr-2015,172.55,+0.97,+0.57%,172.55,172.55,172.55,
23-Apr-2015,171.58,-0.21,-0.12%,171.58,171.58,171.58,
22-Apr-2015,171.79,-1.17,-0.68%,171.79,171.79,171.79,
21-Apr-2015,172.96,-0.72,-0.41%,172.96,172.96,172.96,
20-Apr-2015,173.68,+0.48,+0.28%,173.68,173.68,173.68,
17-Apr-2015,173.20,+1.63,+0.95%,173.20,173.20,173.20,
16-Apr-2015,171.57,+0.50,+0.29%,171.57,171.57,171.57,
15-Apr-2015,171.07,+0.29,+0.17%,171.07,171.07,171.07,
14-Apr-2015,170.78,+0.47,+0.28%,170.78,170.78,170.78,
13-Apr-2015,170.31,+0.70,+0.41%,170.31,170.31,170.31,
10-Apr-2015,169.61,-0.85,-0.50%,169.61,169.61,169.61,
09-Apr-2015,170.46,-0.34,-0.20%,170.46,170.46,170.46,
08-Apr-2015,170.80,-0.35,-0.20%,170.80,170.80,170.80,
07-Apr-2015,171.15,-2.24,-1.29%,171.15,171.15,171.15,
02-Apr-2015,173.39,-1.83,-1.04%,173.39,173.39,173.39,
01-Apr-2015,175.22,+0.11,+0.06%,175.22,175.22,175.22,
31-Mar-2015,175.11,+0.28,+0.16%,175.11,175.11,175.11,
30-Mar-2015,174.83,+0.67,+0.38%,174.83,174.83,174.83,
27-Mar-2015,174.16,+0.43,+0.25%,174.16,174.16,174.16,
26-Mar-2015,173.73,+0.68,+0.39%,173.73,173.73,173.73,
25-Mar-2015,173.05,+0.48,+0.28%,173.05,173.05,173.05,
24-Mar-2015,172.57,+0.55,+0.32%,172.57,172.57,172.57,
23-Mar-2015,172.02,-0.45,-0.26%,172.02,172.02,172.02,
20-Mar-2015,172.47,-1.03,-0.59%,172.47,172.47,172.47,
19-Mar-2015,173.50,+0.87,+0.50%,173.50,173.50,173.50,
18-Mar-2015,172.63,+0.64,+0.37%,172.63,172.63,172.63,
17-Mar-2015,171.99,+0.33,+0.19%,171.99,171.99,171.99,
16-Mar-2015,171.66,-0.35,-0.20%,171.66,171.66,171.66,
13-Mar-2015,172.01,-0.41,-0.24%,172.01,172.01,172.01,
12-Mar-2015,172.42,-0.29,-0.17%,172.42,172.42,172.42,
11-Mar-2015,172.71,+0.19,+0.11%,172.71,172.71,172.71,
10-Mar-2015,172.52,+0.85,+0.50%,172.52,172.52,172.52,
09-Mar-2015,171.67,-0.84,-0.49%,171.67,171.67,171.67,
06-Mar-2015,172.51,+0.23,+0.13%,172.51,172.51,172.51,
05-Mar-2015,172.28,-0.52,-0.30%,172.28,172.28,172.28,
04-Mar-2015,172.80,-0.27,-0.16%,172.80,172.80,172.80,
03-Mar-2015,173.07,-1.63,-0.93%,173.07,173.07,173.07,
02-Mar-2015,174.70,-1.00,-0.57%,174.70,174.70,174.70,
27-Feb-2015,175.70,-0.27,-0.15%,175.70,175.70,175.70,
26-Feb-2015,175.97,-1.54,-0.87%,175.97,175.97,175.97,
25-Feb-2015,177.51,+0.69,+0.39%,177.51,177.51,177.51,
24-Feb-2015,176.82,+1.01,+0.57%,176.82,176.82,176.82,
23-Feb-2015,175.81,-0.19,-0.11%,175.81,175.81,175.81,
20-Feb-2015,176.00,+0.35,+0.20%,176.00,176.00,176.00,
19-Feb-2015,175.65,+1.48,+0.85%,175.65,175.65,175.65,
18-Feb-2015,174.17,+1.27,+0.73%,174.17,174.17,174.17,
17-Feb-2015,172.90,+0.45,+0.26%,172.90,172.90,172.90,
16-Feb-2015,172.45,+0.51,+0.30%,172.45,172.45,172.45,
13-Feb-2015,171.94,+0.27,+0.16%,171.94,171.94,171.94,
12-Feb-2015,171.67,+1.58,+0.93%,171.67,171.67,171.67,
11-Feb-2015,170.09,+0.77,+0.45%,170.09,170.09,170.09,
10-Feb-2015,169.32,+0.29,+0.17%,169.32,169.32,169.32,
09-Feb-2015,169.03,+0.84,+0.50%,169.03,169.03,169.03,
06-Feb-2015,168.19,-0.18,-0.11%,168.19,168.19,168.19,
05-Feb-2015,168.37,+0.43,+0.26%,168.37,168.37,168.37,
04-Feb-2015,167.94,+1.09,+0.65%,167.94,167.94,167.94,
03-Feb-2015,166.85,+0.60,+0.36%,166.85,166.85,166.85,
02-Feb-2015,166.25,+0.45,+0.27%,166.25,166.25,166.25,
30-Jan-2015,165.80,+0.57,+0.34%,165.80,165.80,165.80,
29-Jan-2015,165.23,-0.65,-0.39%,165.23,165.23,165.23,
28-Jan-2015,165.88,+0.06,+0.04%,165.88,165.88,165.88,
27-Jan-2015,165.82,+0.21,+0.13%,165.82,165.82,165.82,
26-Jan-2015,165.61,-1.07,-0.64%,165.61,165.61,165.61,
23-Jan-2015,166.68,+1.51,+0.91%,166.68,166.68,166.68,
22-Jan-2015,165.17,+1.17,+0.71%,165.17,165.17,165.17,
20-Jan-2015,164.00,-1.88,-1.13%,164.00,164.00,164.00,
19-Jan-2015,165.88,-0.93,-0.56%,165.88,165.88,165.88,
16-Jan-2015,166.81,+1.34,+0.81%,166.81,166.81,166.81,
15-Jan-2015,165.47,-0.61,-0.37%,165.47,165.47,165.47,
14-Jan-2015,166.08,+1.32,+0.80%,166.08,166.08,166.08,
13-Jan-2015,164.76,+2.71,+1.67%,164.76,164.76,164.76,
12-Jan-2015,162.05,-0.03,-0.02%,162.05,162.05,162.05,
09-Jan-2015,162.08,+0.30,+0.19%,162.08,162.08,162.08,
08-Jan-2015,161.78,-0.02,-0.01%,161.78,161.78,161.78,
07-Jan-2015,161.80,-0.06,-0.04%,161.80,161.80,161.80,
06-Jan-2015,161.86,-0.31,-0.19%,161.86,161.86,161.86,
05-Jan-2015,162.17,-1.07,-0.66%,162.17,162.17,162.17,
02-Jan-2015,163.24,+0.35,+0.21%,163.24,163.24,163.24,
31-Dec-2014,162.89,-0.36,-0.22%,162.89,162.89,162.89,
30-Dec-2014,163.25,+1.13,+0.70%,163.25,163.25,163.25,
29-Dec-2014,162.12,0.00,0.00%,162.12,162.12,162.12,
24-Dec-2014,162.12,+3.02,+1.90%,162.12,162.12,162.12,
23-Dec-2014,159.10,+2.24,+1.43%,159.10,159.10,159.10,
22-Dec-2014,156.86,+0.67,+0.43%,156.86,156.86,156.86,
19-Dec-2014,156.19,-1.37,-0.87%,156.19,156.19,156.19,
18-Dec-2014,157.56,-2.73,-1.70%,157.56,157.56,157.56,
17-Dec-2014,160.29,-2.08,-1.28%,160.29,160.29,160.29,
16-Dec-2014,162.37,-0.39,-0.24%,162.37,162.37,162.37,
15-Dec-2014,162.76,-0.76,-0.46%,162.76,162.76,162.76,
11-Dec-2014,163.52,-2.06,-1.24%,163.52,163.52,163.52,
10-Dec-2014,165.58,-1.27,-0.76%,165.58,165.58,165.58,
09-Dec-2014,166.85,-0.69,-0.41%,166.85,166.85,166.85,
08-Dec-2014,167.54,+1.04,+0.62%,167.54,167.54,167.54,
05-Dec-2014,166.50,+0.66,+0.40%,166.50,166.50,166.50,
04-Dec-2014,165.84,+1.80,+1.10%,165.84,165.84,165.84,
03-Dec-2014,164.04,-0.25,-0.15%,164.04,164.04,164.04,
02-Dec-2014,164.29,+0.14,+0.09%,164.29,164.29,164.29,
01-Dec-2014,164.15,+0.88,+0.54%,164.15,164.15,164.15,
28-Nov-2014,163.27,-0.50,-0.31%,163.27,163.27,163.27,
27-Nov-2014,163.77,+0.75,+0.46%,163.77,163.77,163.77,
26-Nov-2014,163.02,+1.72,+1.07%,163.02,163.02,163.02,
25-Nov-2014,161.30,+0.15,+0.09%,161.30,161.30,161.30,
24-Nov-2014,161.15,-0.91,-0.56%,161.15,161.15,161.15,
21-Nov-2014,162.06,-0.01,-0.01%,162.06,162.06,162.06,
20-Nov-2014,162.07,-0.56,-0.34%,162.07,162.07,162.07,
19-Nov-2014,162.63,-0.30,-0.18%,162.63,162.63,162.63,
18-Nov-2014,162.93,-0.27,-0.17%,162.93,162.93,162.93,
17-Nov-2014,163.20,-0.50,-0.31%,163.20,163.20,163.20,
14-Nov-2014,163.70,+1.07,+0.66%,163.70,163.70,163.70,
13-Nov-2014,162.63,0.00,0.00%,162.63,162.63,162.63,
12-Nov-2014,162.63,+2.32,+1.45%,162.63,162.63,162.63,
11-Nov-2014,160.31,+0.91,+0.57%,160.31,160.31,160.31,
10-Nov-2014,159.40,-0.08,-0.05%,159.40,159.40,159.40,
07-Nov-2014,159.48,+0.35,+0.22%,159.48,159.48,159.48,
06-Nov-2014,159.13,-0.08,-0.05%,159.13,159.13,159.13,
05-Nov-2014,159.21,+0.62,+0.39%,159.21,159.21,159.21,
04-Nov-2014,158.59,-0.46,-0.29%,158.59,158.59,158.59,
03-Nov-2014,159.05,-0.18,-0.11%,159.05,159.05,159.05,
31-Oct-2014,159.23,-0.45,-0.28%,159.23,159.23,159.23,
30-Oct-2014,159.68,+0.32,+0.20%,159.68,159.68,159.68,
29-Oct-2014,159.36,+0.95,+0.60%,159.36,159.36,159.36,
28-Oct-2014,158.41,-0.81,-0.51%,158.41,158.41,158.41,
27-Oct-2014,159.22,-0.12,-0.08%,159.22,159.22,159.22,
24-Oct-2014,159.34,-1.48,-0.92%,159.34,159.34,159.34,
23-Oct-2014,160.82,+0.24,+0.15%,160.82,160.82,160.82,
22-Oct-2014,160.58,+0.74,+0.46%,160.58,160.58,160.58,
21-Oct-2014,159.84,-0.58,-0.36%,159.84,159.84,159.84,
17-Oct-2014,160.42,-1.17,-0.72%,160.42,160.42,160.42,
16-Oct-2014,161.59,-0.29,-0.18%,161.59,161.59,161.59,
15-Oct-2014,161.88,+0.15,+0.09%,161.88,161.88,161.88,
14-Oct-2014,161.73,-0.22,-0.14%,161.73,161.73,161.73,
13-Oct-2014,161.95,-0.59,-0.36%,161.95,161.95,161.95,
10-Oct-2014,162.54,+0.12,+0.07%,162.54,162.54,162.54,
09-Oct-2014,162.42,-0.23,-0.14%,162.42,162.42,162.42,
08-Oct-2014,162.65,-0.62,-0.38%,162.65,162.65,162.65,
07-Oct-2014,163.27,-0.22,-0.13%,163.27,163.27,163.27,
06-Oct-2014,163.49,-0.17,-0.10%,163.49,163.49,163.49,
03-Oct-2014,163.66,+0.03,+0.02%,163.66,163.66,163.66,
02-Oct-2014,163.63,-0.60,-0.37%,163.63,163.63,163.63,
01-Oct-2014,164.23,+0.78,+0.48%,164.23,164.23,164.23,
30-Sep-2014,163.45,+0.05,+0.03%,163.45,163.45,163.45,
29-Sep-2014,163.40,+1.05,+0.65%,163.40,163.40,163.40,
